entity_id,state,last_changed
sensor.current_2,0.011,2026-04-23T10:11:01.231Z
sensor.current_2,0.035,2026-04-23T10:11:09.230Z
sensor.current_2,0.901,2026-04-23T10:11:15.231Z
sensor.current_2,3.142,2026-04-23T10:11:21.231Z
sensor.current_2,3.201,2026-04-23T10:11:27.238Z
sensor.current_2,2.905,2026-04-23T10:11:33.246Z
sensor.current_2,0.996,2026-04-23T10:11:39.233Z
sensor.current_2,0.023,2026-04-23T10:11:45.229Z
sensor.current_2,0.035,2026-04-23T10:11:53.229Z
sensor.current_2,0.758,2026-04-23T10:11:59.227Z
sensor.current_2,3.071,2026-04-23T10:12:05.241Z
sensor.current_2,3.130,2026-04-23T10:12:11.232Z
sensor.current_2,2.940,2026-04-23T10:12:17.229Z
sensor.current_2,0.758,2026-04-23T10:12:23.231Z
sensor.current_2,0.011,2026-04-23T10:12:29.227Z
sensor.current_2,0.035,2026-04-23T10:12:35.227Z
sensor.current_2,0.509,2026-04-23T10:12:41.258Z
sensor.current_2,2.833,2026-04-23T10:12:47.235Z
sensor.current_2,3.011,2026-04-23T10:12:53.228Z
sensor.current_2,3.320,2026-04-23T10:12:59.228Z
sensor.current_2,1.292,2026-04-23T10:13:05.229Z
sensor.current_2,0.023,2026-04-23T10:13:11.254Z
sensor.current_2,0.035,2026-04-23T10:13:19.278Z
sensor.current_2,0.758,2026-04-23T10:13:25.231Z
sensor.current_2,2.869,2026-04-23T10:13:31.285Z
sensor.current_2,2.928,2026-04-23T10:13:37.278Z
sensor.current_2,2.916,2026-04-23T10:13:43.372Z
sensor.current_2,1.031,2026-04-23T10:13:49.261Z
sensor.current_2,0.011,2026-04-23T10:13:55.263Z
sensor.current_2,0.023,2026-04-23T10:14:01.238Z
sensor.current_2,0.367,2026-04-23T10:14:07.228Z
sensor.current_2,2.430,2026-04-23T10:14:13.229Z
sensor.current_2,2.928,2026-04-23T10:14:19.240Z
sensor.current_2,2.916,2026-04-23T10:14:25.227Z
sensor.current_2,1.517,2026-04-23T10:14:31.244Z
sensor.current_2,0.023,2026-04-23T10:14:37.227Z
sensor.current_2,0.011,2026-04-23T10:14:43.410Z
sensor.current_2,0.071,2026-04-23T10:14:49.236Z
sensor.current_2,2.134,2026-04-23T10:14:55.229Z
sensor.current_2,2.798,2026-04-23T10:15:01.281Z
sensor.current_2,3.201,2026-04-23T10:15:07.226Z
sensor.current_2,2.051,2026-04-23T10:15:13.280Z
sensor.current_2,0.011,2026-04-23T10:15:19.353Z
sensor.current_2,0.023,2026-04-23T10:15:25.229Z
sensor.current_2,0.237,2026-04-23T10:15:33.231Z
sensor.current_2,2.217,2026-04-23T10:15:39.233Z
sensor.current_2,2.869,2026-04-23T10:15:45.228Z
sensor.current_2,2.916,2026-04-23T10:15:51.286Z
sensor.current_2,1.778,2026-04-23T10:15:57.285Z
sensor.current_2,0.011,2026-04-23T10:16:03.224Z
sensor.current_2,0.023,2026-04-23T10:16:11.298Z
